Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-000645,JL1,Lung Cancer,Primary
ACH-000975,HCC2450,Lung Cancer,
ACH-002196,SBC1,Lung Cancer,
ACH-000775,NCIH727,Lung Cancer,Primary
ACH-000447,NCIH2228,Lung Cancer,Primary
ACH-002123,H2369,Lung Cancer,
ACH-000143,HCC2429,Lung Cancer,
ACH-000787,LXF289,Lung Cancer,Primary
ACH-000766,NCIH1648,Lung Cancer,Metastasis
ACH-000035,NCIH1650,Lung Cancer,Metastasis
ACH-001562,MERO95,Lung Cancer,Primary
ACH-000670,SBC5,Lung Cancer,Metastasis
ACH-002134,H2818,Lung Cancer,
ACH-002175,NCIH740,Lung Cancer,Metastasis
ACH-000394,NCIH2081,Lung Cancer,Metastasis
ACH-000454,HCC95,Lung Cancer,Metastasis
ACH-000431,NCIH1694,Lung Cancer,Metastasis
ACH-000837,NCIH322,Lung Cancer,Primary
ACH-000251,NCIH2887,Lung Cancer,
ACH-002184,PC3JPC3,Lung Cancer,
ACH-000434,NCIH1915,Lung Cancer,Metastasis
ACH-000803,COLO668,Lung Cancer,Metastasis
ACH-000925,DV90,Lung Cancer,Metastasis
ACH-000515,HCC33,Lung Cancer,Metastasis
ACH-000844,DMS454,Lung Cancer,Primary
ACH-000481,NCIH2170,Lung Cancer,Primary
ACH-000179,NCIH1618,Lung Cancer,Metastasis
ACH-001561,MERO84,Lung Cancer,Primary
ACH-002173,NCIH378,Lung Cancer,Metastasis
ACH-000886,NCIH2009,Lung Cancer,Metastasis
ACH-001234,VMRCLCP,Lung Cancer,Primary
ACH-000559,NCIH1836,Lung Cancer,Primary
ACH-000924,NCIH2172,Lung Cancer,Primary
ACH-000297,NCIH889,Lung Cancer,Metastasis
ACH-000511,CALU1,Lung Cancer,Metastasis
ACH-000390,LUDLU1,Lung Cancer,Primary
ACH-000355,NCIH82,Lung Cancer,Metastasis
ACH-000700,NCIH2882,Lung Cancer,
ACH-000747,NCIH1703,Lung Cancer,Primary
ACH-001363,NCIH2135,Lung Cancer,Primary
ACH-000900,NCIH23,Lung Cancer,Primary
ACH-000878,HCC15,Lung Cancer,Primary
ACH-000816,NCIH524,Lung Cancer,Metastasis
ACH-000292,NCIH841,Lung Cancer,Metastasis
ACH-002130,H2795,Lung Cancer,
ACH-000153,NCIH2052,Lung Cancer,Metastasis
ACH-001088,HLC1,Lung Cancer,Metastasis
ACH-000871,NCIH510,Lung Cancer,Metastasis
ACH-000845,NCIH1373,Lung Cancer,Primary
ACH-000779,PC9,Lung Cancer,
ACH-000733,NCIH1838,Lung Cancer,Primary
ACH-000590,NCIH2073,Lung Cancer,Primary
ACH-000743,CORL95,Lung Cancer,Primary
ACH-001958,MS1,Lung Cancer,Metastasis
ACH-000870,NCIH1930,Lung Cancer,Metastasis
ACH-000030,PC14,Lung Cancer,Primary
ACH-000769,LK2,Lung Cancer,Primary
ACH-000451,NCIH2085,Lung Cancer,Primary
ACH-000904,NCIH2106,Lung Cancer,Metastasis
ACH-001558,MERO48A,Lung Cancer,Primary
ACH-002176,NCIH748,Lung Cancer,Metastasis
ACH-000912,NCIH2286,Lung Cancer,Primary
ACH-002101,EMCBAC1,Lung Cancer,
ACH-000335,MSTO211H,Lung Cancer,Metastasis
ACH-000343,NCIH522,Lung Cancer,Primary
ACH-000813,T3M10,Lung Cancer,Metastasis
ACH-001560,MERO83,Lung Cancer,Primary
ACH-000298,NCIH2029,Lung Cancer,Metastasis
ACH-002156,LC1SQ,Lung Cancer,
ACH-000866,NCIH1048,Lung Cancer,Metastasis
ACH-000314,HCC2108,Lung Cancer,Primary
ACH-000319,MPP89,Lung Cancer,
ACH-000264,CALU6,Lung Cancer,Metastasis
